with_s,without_est_s,saved_s,pct_saved
165,308,143,46.4
124,158,34,21.5
114,143,29,20.3
412,555,143,25.8
336,508,172,33.9
344,516,172,33.3
272,288,16,5.6
296,324,29,9.0
435,492,57,11.6
361,390,30,7.7
236,292,57,19.5
308,338,30,8.9
334,334,0,0.0
358,415,57,13.7
306,344,38,11.0
392,520,129,24.8
524,706,182,25.8
462,478,16,3.3
202,259,58,22.4
334,506,172,34.0
589,701,112,16.0
158,292,134,45.9
296,395,98,24.8
366,538,172,32.0
336,394,58,14.7
341,505,164,32.5
254,311,57,18.3
451,583,132,22.6
335,393,58,14.8
287,371,84,22.6
408,435,28,6.4
1073,1102,29,2.6
267,311,44,14.1
334,392,58,14.8
284,416,132,31.7
336,393,58,14.8
162,296,134,45.3
606,756,151,20.0
514,568,54,9.5
604,755,151,20.0
527,581,54,9.3
336,393,58,14.8
